0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,12,12,12,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,22,12,202,221,232,233,229,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,8,212,239,180,20,25,227,40,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,3,32,235,20,7,7,233,240,243,152,9,2,0,0,21,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,30,141,237,18,25,8,17,240,172,241,142,38,13,13,9,4,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,5,34,245,242,100,186,4,12,236,47,239,237,236,234,235,227,6,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,3,12,236,242,236,70,42,4,9,205,234,49,16,61,240,24,135,6,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,5,9,181,237,22,29,6,19,1,4,51,9,5,3,107,231,15,2,2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,48,231,77,230,9,0,0,0,0,0,0,1,2,8,20,234,12,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,6,71,236,62,46,5,0,0,0,0,0,0,2,30,136,194,232,12,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,5,233,182,17,5,1,0,0,0,0,0,0,7,146,240,47,220,8,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,4,33,239,239,17,13,27,4,0,0,0,5,35,244,243,139,6,4,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,7,164,236,233,233,229,9,1,3,8,42,240,244,237,11,2,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,2,7,11,12,21,233,13,1,65,156,243,244,129,10,4,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,12,231,34,5,32,168,246,239,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,12,235,107,17,128,205,238,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,8,230,235,232,233,189,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,4,8,12,12,12,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
