0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,3,3,0,1,7,11,127,139,72,19,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,2,0,1,64,5,6,0,12,29,29,0,4,1,3,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,1,1,1,41,154,61,3,0,6,0,127,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,2,1,3,66,67,35,42,1,0,2,8,92,3,1,1,3,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,1,19,107,137,53,0,2,0,0,0,96,214,129,29,31,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,8,168,45,32,1,3,0,0,0,19,0,75,4,65,95,4,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,12,165,11,42,1,0,0,0,0,0,10,2,1,0,8,30,94,6,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,75,30,3,4,0,4,0,0,0,0,0,0,1,0,1,74,78,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,0,6,77,44,0,0,0,0,0,0,0,0,0,0,4,19,16,70,45,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,37,10,29,13,1,17,59,0,4,8,0,6,5,55,74,5,61,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2,5,103,89,115,29,25,56,0,0,0,62,122,140,43,88,3,0,3,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2,3,5,84,15,94,0,1,0,1,0,31,60,23,1,0,0,2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,7,2,2,4,77,100,8,0,0,0,0,96,28,2,1,1,0,0,3,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,4,0,1,7,23,20,1,7,3,117,3,3,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,4,1,6,0,1,104,73,91,57,29,69,4,0,5,1,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,3,28,29,9,4,94,2,3,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,4,31,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
